neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price
Eixample,41.37601,2.15108,Private room,2,1.0,1.0,1.0,100.0,49.0
Eixample,41.39203,2.17423,Entire home/apt,8,4.0,4.0,5.0,100.0,810.0
Dreta de l'Eixample,41.39677,2.17673,Private room,2,1.0,1.0,1.0,98.0,70.0
Sant Antoni,41.37573,2.1596,Entire home/apt,4,2.0,2.0,3.0,95.0,199.0
La Vila Olímpica,41.3855,2.20082,Entire home/apt,8,1.5,3.0,8.0,96.0,200.0
Diagonal Mar - La Mar Bella,41.40538,2.2162,Entire home/apt,8,2.0,4.0,5.0,100.0,490.0
Eixample,41.37803,2.15778,Private room,2,1.0,1.0,1.0,93.0,31.0
Eixample,41.38211,2.15707,Private room,1,1.5,1.0,1.0,97.0,45.0
Eixample,41.39643,2.16075,Entire home/apt,9,2.0,2.0,6.0,97.0,142.0
El Poble-sec,41.37262,2.16533,Entire home/apt,4,1.0,2.0,3.0,60.0,90.0
Vila de Gràcia,41.40682,2.16051,Private room,4,3.0,1.0,4.0,93.0,120.0
Sant Gervasi - Galvany,41.39744,2.15128,Entire home/apt,5,1.0,2.0,3.0,93.0,100.0
Sant Martí,41.40466,2.20261,Private room,1,1.0,1.0,1.0,95.0,40.0
Camp d'en Grassot i Gràcia Nova,41.40264,2.1687,Private room,3,1.0,1.0,3.0,75.0,60.0
Eixample,41.3804,2.15202,Private room,2,1.0,1.0,1.0,100.0,60.0
El Poble-sec,41.37423,2.1563,Entire home/apt,8,2.0,4.0,8.0,88.0,132.0
Sant Andreu,41.43433,2.2085,Private room,6,1.0,1.0,5.0,93.0,63.0
El Camp de l'Arpa del Clot,41.41417,2.18186,Private room,1,0.0,3.0,3.0,93.0,30.0
Gràcia,41.39994,2.16158,Entire home/apt,2,1.0,1.0,1.0,97.0,110.0
La Sagrada Família,41.40219,2.17607,Private room,1,2.0,1.0,1.0,93.0,17.0
Sant Martí,41.41209,2.18116,Entire home/apt,4,1.0,2.0,3.0,93.0,155.0
El Gòtic,41.38657,2.17229,Entire home/apt,4,1.0,1.0,1.0,92.0,85.0
Ciutat Vella,41.38452,2.16627,Private room,2,1.0,1.0,1.0,97.0,71.0
Gràcia,41.40272,2.16855,Private room,2,1.0,1.0,1.0,93.0,45.0
Ciutat Vella,41.3855,2.1729,Entire home/apt,2,1.5,1.0,1.0,93.0,140.0
Eixample,41.38354,2.15992,Private room,2,1.5,1.0,1.0,95.0,60.0
Sants-Montjuïc,41.37272,2.16686,Entire home/apt,4,1.0,1.0,1.0,87.0,88.0
Sant Gervasi - Galvany,41.39555,2.14954,Entire home/apt,7,2.0,4.0,5.0,95.0,220.0
Eixample,41.39692,2.16139,Private room,1,7.0,1.0,1.0,93.0,27.0
El Born,41.3841,2.17894,Entire home/apt,8,2.0,4.0,7.0,100.0,500.0
Sants-Montjuïc,41.37153,2.16241,Private room,1,1.0,1.0,1.0,95.0,19.0
Ciutat Vella,41.38916,2.17842,Private room,1,0.0,1.0,1.0,89.0,50.0
Diagonal Mar - La Mar Bella,41.4082,2.2148,Entire home/apt,2,1.0,0.0,1.0,93.0,125.0
L'Antiga Esquerra de l'Eixample,41.39082,2.15078,Private room,2,2.0,1.0,1.0,95.0,45.0
Navas,41.41757,2.18898,Private room,1,1.5,1.0,1.0,100.0,35.0
La Barceloneta,41.37385,2.18753,Entire home/apt,8,1.0,3.0,3.0,93.0,225.0
Sants-Montjuïc,41.37441,2.14346,Entire home/apt,3,1.0,1.0,2.0,96.0,99.0
Eixample,41.37909,2.15941,Entire home/apt,6,2.0,3.0,3.0,93.0,109.0
Gràcia,41.41078,2.16107,Private room,2,1.5,1.0,1.0,93.0,20.0
Eixample,41.3951,2.18056,Private room,1,1.0,1.0,1.0,100.0,75.0
La Sagrada Família,41.40254,2.17395,Private room,2,1.0,1.0,1.0,70.0,28.0
Dreta de l'Eixample,41.38898,2.17109,Entire home/apt,6,2.0,2.0,5.0,91.0,203.0
Sants-Montjuïc,41.38222,2.13704,Private room,3,1.0,1.0,3.0,93.0,45.0
L'Antiga Esquerra de l'Eixample,41.38975,2.15927,Entire home/apt,5,2.0,3.0,4.0,95.0,165.0
Ciutat Vella,41.38181,2.17476,Private room,2,1.0,1.0,2.0,84.0,46.0
Dreta de l'Eixample,41.39162,2.16302,Private room,2,2.0,1.0,1.0,85.0,95.0
Eixample,41.38296,2.16275,Private room,2,1.0,1.0,1.0,96.0,50.0
Eixample,41.38676,2.15525,Entire home/apt,6,2.0,3.0,5.0,91.0,94.0
Dreta de l'Eixample,41.39296,2.17699,Entire home/apt,6,2.0,2.0,3.0,98.0,150.0
Vallcarca i els Penitents,41.41246,2.14864,Private room,4,1.5,3.0,3.0,93.0,100.0
La Nova Esquerra de l'Eixample,41.38562,2.15928,Entire home/apt,2,1.0,1.0,2.0,93.0,396.0
Gràcia,41.4061,2.14997,Private room,1,2.0,1.0,1.0,93.0,31.0
L'Antiga Esquerra de l'Eixample,41.39224,2.15805,Entire home/apt,5,2.0,1.0,3.0,95.0,200.0
Sant Antoni,41.37712,2.16354,Private room,2,1.0,1.0,1.0,75.0,14.0
El Gòtic,41.37818,2.17696,Private room,2,1.0,1.0,2.0,91.0,68.0
El Poble-sec,41.37292,2.16187,Private room,2,1.0,1.0,1.0,88.0,25.0
El Camp de l'Arpa del Clot,41.41338,2.17776,Private room,2,1.0,1.0,1.0,93.0,100.0
Sant Andreu,41.41973,2.18902,Entire home/apt,2,1.0,1.0,2.0,85.0,45.0
Eixample,41.39287,2.16976,Entire home/apt,5,1.0,3.0,5.0,95.0,109.0
Eixample,41.37605,2.15963,Private room,1,2.0,1.0,1.0,93.0,30.0
El Raval,41.37706,2.17098,Entire home/apt,2,1.0,0.0,1.0,100.0,29.0
El Raval,41.38046,2.16479,Private room,1,1.0,1.0,1.0,96.0,24.0
Sants-Montjuïc,41.37215,2.14069,Private room,1,1.0,1.0,1.0,86.0,40.0
Sant Martí,41.39015,2.19325,Entire home/apt,8,2.0,3.0,4.0,64.0,277.0
Vila de Gràcia,41.40552,2.15085,Private room,1,2.0,1.0,1.0,93.0,23.0
Eixample,41.3815,2.15877,Entire home/apt,5,2.0,3.0,3.0,95.0,170.0
Camp d'en Grassot i Gràcia Nova,41.40455,2.16878,Private room,2,1.0,1.0,1.0,93.0,80.0
Ciutat Vella,41.38452,2.17626,Private room,2,1.0,1.0,1.0,95.0,90.0
Sant Andreu,41.41804,2.18809,Private room,3,1.0,1.0,3.0,93.0,75.0
Eixample,41.40229,2.17707,Entire home/apt,2,1.0,1.0,2.0,100.0,60.0
Sants-Montjuïc,41.37484,2.16261,Entire home/apt,4,1.0,2.0,3.0,93.0,90.0
Vila de Gràcia,41.39879,2.16184,Private room,2,1.0,1.0,2.0,93.0,500.0
Ciutat Vella,41.38539,2.17984,Entire home/apt,2,1.0,1.0,2.0,100.0,55.0
Sants-Montjuïc,41.37139,2.16553,Private room,3,1.0,2.0,3.0,81.0,70.0
L'Antiga Esquerra de l'Eixample,41.39485,2.15376,Entire home/apt,7,2.0,4.0,6.0,92.0,500.0
La Nova Esquerra de l'Eixample,41.38826,2.15973,Entire home/apt,6,2.0,3.0,5.0,92.0,145.0
Sants-Montjuïc,41.36664,2.14635,Private room,1,1.0,1.0,1.0,96.0,25.0
Porta,41.43732,2.17936,Private room,2,1.0,2.0,1.0,77.0,23.0
Eixample,41.39247,2.17804,Entire home/apt,6,2.0,2.0,6.0,100.0,120.0
Sants-Montjuïc,41.37936,2.12921,Private room,3,1.0,1.0,2.0,91.0,52.0
La Nova Esquerra de l'Eixample,41.38442,2.15422,Private room,2,1.0,1.0,1.0,97.0,80.0
El Congrés i els Indians,41.42722,2.17777,Private room,2,1.0,1.0,1.0,93.0,42.0
Sant Martí,41.41988,2.20552,Private room,3,1.0,1.0,3.0,85.0,22.0
La Salut,41.41235,2.15996,Private room,3,1.0,1.0,2.0,99.0,74.0
Vila de Gràcia,41.4096,2.15853,Private room,2,1.0,1.0,1.0,93.0,46.0
El Congrés i els Indians,41.42461,2.17757,Private room,1,2.0,1.0,1.0,93.0,16.0
Dreta de l'Eixample,41.38629,2.16548,Shared room,1,4.0,1.0,4.0,93.0,140.0
Ciutat Vella,41.37803,2.1671,Entire home/apt,3,2.5,2.0,2.0,100.0,65.0
Vila de Gràcia,41.40263,2.15578,Entire home/apt,6,2.0,3.0,4.0,93.0,66.0
Ciutat Vella,41.38661,2.17802,Private room,2,1.0,1.0,1.0,95.0,30.0
Sant Antoni,41.38175,2.15961,Entire home/apt,5,2.0,3.0,4.0,89.0,200.0
Sant Antoni,41.37898,2.15791,Entire home/apt,4,1.0,2.0,3.0,93.0,5000.0
La Nova Esquerra de l'Eixample,41.38449,2.15931,Entire home/apt,4,1.0,1.0,3.0,100.0,110.0
Sants-Montjuïc,41.3731,2.16592,Private room,1,1.0,1.0,1.0,100.0,40.0
Dreta de l'Eixample,41.39017,2.16503,Entire home/apt,2,1.0,1.0,2.0,93.0,75.0
Sant Martí,41.41762,2.20923,Private room,1,1.0,1.0,1.0,93.0,25.0
Ciutat Vella,41.38371,2.17491,Entire home/apt,4,1.0,2.0,3.0,100.0,112.0
Ciutat Vella,41.37868,2.17346,Private room,2,2.0,1.0,1.0,86.0,35.0
L'Antiga Esquerra de l'Eixample,41.38929,2.15498,Private room,2,1.5,1.0,1.0,93.0,60.0
Eixample,41.39755,2.17463,Entire home/apt,4,1.0,2.0,3.0,95.0,200.0
Sarrià-Sant Gervasi,41.39681,2.12794,Entire home/apt,4,1.0,2.0,3.0,89.0,99.0
Sant Martí,41.40805,2.20906,Private room,1,1.0,1.0,1.0,95.0,43.0
Eixample,41.39551,2.15794,Entire home/apt,6,2.0,3.0,4.0,100.0,150.0
Eixample,41.39943,2.16522,Entire home/apt,4,1.5,1.0,2.0,89.0,92.0
Sant Andreu,41.42208,2.18976,Private room,2,1.0,1.0,1.0,85.0,35.0
Vila de Gràcia,41.40124,2.15207,Private room,2,1.0,1.0,1.0,100.0,25.0
Eixample,41.37518,2.16611,Entire home/apt,9,2.0,4.0,8.0,90.0,310.0
Dreta de l'Eixample,41.39195,2.16395,Private room,4,1.0,1.0,4.0,93.0,250.0
Sants-Montjuïc,41.38151,2.13517,Private room,2,1.0,1.0,1.0,93.0,65.0
Ciutat Vella,41.37708,2.16699,Private room,2,1.0,1.0,1.0,87.0,50.0
Sant Pere/Santa Caterina,41.38858,2.17643,Entire home/apt,7,2.0,3.0,4.0,90.0,140.0
Eixample,41.41052,2.17484,Entire home/apt,4,1.0,1.0,2.0,95.0,116.0
Sants-Montjuïc,41.37484,2.14167,Entire home/apt,4,1.0,1.0,2.0,93.0,142.0
Eixample,41.39689,2.17425,Entire home/apt,8,2.0,3.0,3.0,82.0,120.0
Gràcia,41.40059,2.15235,Private room,1,1.0,1.0,1.0,93.0,20.0
Vila de Gràcia,41.40092,2.16522,Private room,5,1.0,1.0,4.0,96.0,105.0
Eixample,41.39415,2.16922,Entire home/apt,6,2.0,3.0,4.0,97.0,600.0
Gràcia,41.40563,2.16782,Entire home/apt,4,1.0,3.0,3.0,100.0,83.0
Eixample,41.40472,2.17754,Entire home/apt,4,1.0,3.0,3.0,93.0,95.0
El Poblenou,41.39616,2.20046,Entire home/apt,5,1.0,2.0,3.0,100.0,185.0
Gràcia,41.40438,2.15047,Private room,7,4.0,1.0,1.0,93.0,28.0
Sant Martí,41.40142,2.20764,Entire home/apt,4,1.0,2.0,3.0,97.0,143.0
Ciutat Vella,41.37831,2.17237,Private room,2,1.0,1.0,1.0,97.0,50.0
Eixample,41.39717,2.16024,Entire home/apt,6,1.0,3.0,6.0,83.0,92.0
Eixample,41.38321,2.16247,Private room,2,1.0,1.0,1.0,100.0,60.0
Horta-Guinardó,41.43469,2.15436,Private room,1,3.0,1.0,1.0,93.0,19.0
El Born,41.38374,2.183,Private room,2,2.0,1.0,1.0,99.0,70.0
El Poblenou,41.39865,2.19587,Private room,2,1.0,1.0,0.0,87.0,36.0
Sant Andreu,41.44249,2.18829,Private room,2,2.0,1.0,1.0,95.0,35.0
Ciutat Vella,41.37881,2.18889,Private room,2,1.0,1.0,1.0,97.0,85.0
La Barceloneta,41.3862,2.19597,Private room,2,2.0,1.0,1.0,80.0,60.0
Sarrià-Sant Gervasi,41.39579,2.14745,Private room,1,1.0,1.0,1.0,93.0,30.0
Eixample,41.38478,2.15933,Entire home/apt,6,1.0,3.0,6.0,90.0,105.0
Sants-Montjuïc,41.35911,2.14077,Private room,2,1.0,1.0,1.0,93.0,60.0
Gràcia,41.4017,2.15189,Private room,1,1.0,1.0,1.0,100.0,27.0
El Poble-sec,41.37458,2.16622,Entire home/apt,4,1.0,1.0,2.0,93.0,65.0
Sant Gervasi - Galvany,41.39329,2.14364,Entire home/apt,4,1.5,2.0,3.0,90.0,208.0
Les Corts,41.38593,2.13062,Entire home/apt,4,1.0,3.0,3.0,100.0,140.0
Sant Gervasi - Galvany,41.3984,2.14424,Private room,2,1.0,1.0,1.0,98.0,80.0
Eixample,41.39159,2.17577,Private room,2,1.0,1.0,1.0,100.0,71.0
Gràcia,41.39872,2.15855,Entire home/apt,3,1.0,1.0,1.0,83.0,60.0
Eixample,41.38824,2.16031,Entire home/apt,9,3.0,5.0,6.0,93.0,471.0
Vilapicina i la Torre Llobeta,41.42877,2.18059,Private room,2,1.5,1.0,1.0,90.0,27.0
Sants-Montjuïc,41.37515,2.13039,Private room,1,1.0,1.0,1.0,97.0,23.0
el Fort Pienc,41.39229,2.18049,Entire home/apt,8,2.0,3.0,7.0,62.0,85.0
Ciutat Vella,41.38689,2.17302,Entire home/apt,3,1.0,1.0,2.0,93.0,99.0
Camp d'en Grassot i Gràcia Nova,41.40548,2.16337,Private room,4,2.0,2.0,2.0,69.0,370.0
La Sagrada Família,41.40625,2.17019,Entire home/apt,2,1.0,1.0,1.0,93.0,150.0
Dreta de l'Eixample,41.38607,2.16614,Private room,1,1.0,1.0,1.0,100.0,85.0
La Nova Esquerra de l'Eixample,41.38428,2.15663,Entire home/apt,4,1.0,2.0,2.0,93.0,70.0
Gràcia,41.40842,2.15772,Entire home/apt,9,2.0,2.0,5.0,85.0,150.0
Sant Antoni,41.37657,2.16334,Private room,2,1.0,1.0,1.0,77.0,40.0
Sants-Montjuïc,41.36344,2.13774,Private room,2,2.0,1.0,2.0,89.0,34.0
La Sagrada Família,41.40537,2.17394,Entire home/apt,4,1.0,2.0,2.0,78.0,145.0
La Maternitat i Sant Ramon,41.37759,2.12446,Private room,3,1.0,1.0,1.0,96.0,70.0
Horta-Guinardó,41.42289,2.15169,Private room,1,1.0,1.0,1.0,93.0,15.0
La Nova Esquerra de l'Eixample,41.38465,2.15587,Entire home/apt,4,1.0,2.0,4.0,93.0,66.0
Gràcia,41.40378,2.17099,Entire home/apt,5,1.0,3.0,4.0,93.0,81.0
Diagonal Mar - La Mar Bella,41.40939,2.21673,Private room,2,1.0,1.0,1.0,100.0,38.0
Sarrià-Sant Gervasi,41.39784,2.11956,Private room,1,1.0,1.0,1.0,96.0,45.0
Sant Martí,41.41432,2.21241,Private room,2,1.0,1.0,2.0,90.0,39.0
El Gòtic,41.38292,2.17422,Private room,1,2.0,1.0,1.0,93.0,23.0
Vila de Gràcia,41.3981,2.15705,Private room,2,1.5,1.0,2.0,93.0,35.0
Eixample,41.40152,2.17408,Private room,2,1.0,1.0,1.0,93.0,20.0
El Baix Guinardó,41.41211,2.16341,Private room,1,1.0,1.0,1.0,93.0,20.0
Sants-Montjuïc,41.37116,2.16541,Private room,2,1.0,1.0,1.0,90.0,45.0
Horta-Guinardó,41.41151,2.17321,Private room,2,1.0,1.0,2.0,98.0,30.0
Eixample,41.39413,2.17014,Entire home/apt,6,2.0,3.0,3.0,92.0,205.0
Ciutat Vella,41.3837,2.18042,Entire home/apt,4,1.5,2.0,2.0,85.0,119.0
Ciutat Vella,41.38977,2.17938,Private room,1,1.5,1.0,1.0,93.0,36.0
Eixample,41.3902,2.16581,Entire home/apt,14,3.0,5.0,5.0,98.0,445.0
Sant Martí,41.40889,2.1823,Entire home/apt,6,2.0,2.0,3.0,88.0,90.0
La Maternitat i Sant Ramon,41.37315,2.1154,Private room,2,1.0,1.0,1.0,93.0,125.0
L'Antiga Esquerra de l'Eixample,41.38909,2.16042,Entire home/apt,2,1.0,0.0,1.0,93.0,41.0
Sants-Montjuïc,41.37144,2.15762,Entire home/apt,7,1.0,3.0,4.0,99.0,95.0
Sants-Montjuïc,41.37421,2.16447,Entire home/apt,6,1.5,3.0,3.0,84.0,110.0
Eixample,41.39063,2.18388,Entire home/apt,4,2.0,2.0,3.0,92.0,175.0
Ciutat Vella,41.37871,2.16921,Private room,2,1.0,1.0,1.0,93.0,50.0
Eixample,41.39715,2.17909,Entire home/apt,8,2.0,3.0,5.0,93.0,250.0
La Barceloneta,41.38131,2.18673,Entire home/apt,3,1.0,2.0,2.0,93.0,60.0
El Poblenou,41.40301,2.20448,Private room,2,1.0,1.0,1.0,99.0,31.0
Sant Antoni,41.37635,2.16362,Entire home/apt,6,1.0,2.0,2.0,82.0,139.0
Ciutat Vella,41.3874,2.1777,Entire home/apt,3,1.0,1.0,2.0,100.0,90.0
Sants-Montjuïc,41.37225,2.12815,Entire home/apt,6,1.0,3.0,3.0,80.0,70.0
Sant Pere/Santa Caterina,41.38473,2.18534,Private room,4,1.5,1.0,2.0,93.0,50.0
Eixample,41.3925,2.18157,Entire home/apt,6,1.0,3.0,4.0,93.0,83.0
Sant Martí,41.39829,2.20695,Entire home/apt,4,1.0,1.0,2.0,92.0,128.0
Vila de Gràcia,41.40135,2.15872,Entire home/apt,5,1.0,2.0,4.0,96.0,150.0
Ciutat Vella,41.38123,2.17893,Private room,4,1.0,1.0,4.0,94.0,140.0
Eixample,41.3968,2.17702,Entire home/apt,5,1.0,1.0,2.0,93.0,80.0
La Barceloneta,41.37988,2.19009,Entire home/apt,2,1.0,1.0,1.0,93.0,60.0
Horta-Guinardó,41.42848,2.15793,Private room,2,1.0,1.0,1.0,100.0,40.0
Eixample,41.38858,2.16959,Entire home/apt,4,2.0,2.0,3.0,100.0,306.0
Ciutat Vella,41.3787,2.17906,Private room,3,2.0,1.0,2.0,93.0,40.0
Eixample,41.38676,2.15343,Entire home/apt,6,1.0,3.0,4.0,98.0,450.0
La Barceloneta,41.37859,2.18879,Entire home/apt,2,1.0,1.0,1.0,93.0,55.0
Sant Martí,41.39942,2.20577,Private room,4,1.0,0.0,2.0,99.0,150.0
L'Antiga Esquerra de l'Eixample,41.38852,2.14411,Private room,2,1.0,1.0,2.0,93.0,250.0
L'Antiga Esquerra de l'Eixample,41.39295,2.15537,Private room,1,1.0,1.0,1.0,95.0,34.0
Sant Antoni,41.3774,2.15871,Entire home/apt,2,2.0,2.0,2.0,93.0,60.0
Ciutat Vella,41.37883,2.17096,Private room,2,1.0,1.0,1.0,93.0,20.0
Dreta de l'Eixample,41.39914,2.17434,Private room,2,1.0,1.0,1.0,97.0,37.0
Sant Martí,41.3978,2.2045,Entire home/apt,4,1.0,2.0,3.0,100.0,50.0
Gràcia,41.4034,2.16905,Private room,1,2.0,1.0,1.0,97.0,11.0
Eixample,41.40667,2.17212,Private room,1,1.5,1.0,1.0,93.0,21.0
Sant Pere/Santa Caterina,41.38251,2.18104,Entire home/apt,5,1.0,3.0,3.0,97.0,155.0
Guinardó,41.41869,2.17783,Private room,2,1.0,1.0,2.0,93.0,32.0
Eixample,41.40061,2.17526,Private room,2,1.0,1.0,2.0,94.0,22.0
Sant Martí,41.41235,2.17962,Entire home/apt,4,1.0,2.0,3.0,20.0,145.0
Sant Pere/Santa Caterina,41.38747,2.17523,Entire home/apt,10,4.0,4.0,7.0,84.0,184.0
Eixample,41.37847,2.15223,Private room,2,2.0,1.0,2.0,93.0,30.0
La Font d'en Fargues,41.42668,2.16511,Entire home/apt,7,2.5,4.0,4.0,93.0,3000.0
Eixample,41.37604,2.16192,Private room,3,2.0,1.0,2.0,88.0,50.0
Eixample,41.39303,2.15762,Entire home/apt,8,2.0,4.0,6.0,93.0,306.0
Eixample,41.40503,2.17494,Entire home/apt,5,1.0,2.0,4.0,95.0,106.0
El Putget i Farró,41.40888,2.14413,Private room,2,1.0,1.0,2.0,96.0,30.0
Sant Martí,41.40239,2.20537,Private room,2,2.0,1.0,2.0,100.0,45.0
Ciutat Vella,41.38012,2.17528,Entire home/apt,4,1.0,1.0,1.0,88.0,120.0
Sants-Montjuïc,41.37225,2.12664,Entire home/apt,4,1.0,1.0,1.0,93.0,129.0
El Raval,41.37864,2.16556,Shared room,4,1.0,1.0,3.0,94.0,45.0
Ciutat Vella,41.38429,2.16983,Private room,2,1.0,1.0,1.0,84.0,14.0
L'Antiga Esquerra de l'Eixample,41.39271,2.14918,Private room,1,1.0,1.0,1.0,96.0,45.0
El Born,41.38523,2.1842,Entire home/apt,4,1.5,2.0,3.0,93.0,76.0
Eixample,41.40492,2.18096,Private room,2,1.5,1.0,2.0,93.0,40.0
Sants-Montjuïc,41.36971,2.14325,Private room,2,1.0,0.0,1.0,93.0,60.0
El Raval,41.3752,2.17237,Private room,4,1.0,1.0,3.0,91.0,99.0
Sants-Montjuïc,41.3735,2.1655,Entire home/apt,4,2.0,3.0,4.0,100.0,25.0
L'Antiga Esquerra de l'Eixample,41.39295,2.15496,Private room,2,1.0,1.0,1.0,98.0,90.0
Sants-Montjuïc,41.36841,2.13359,Private room,2,1.5,1.0,2.0,87.0,30.0
Eixample,41.38361,2.1584,Private room,2,1.0,1.0,1.0,72.0,62.0
Ciutat Vella,41.38862,2.17909,Entire home/apt,4,2.0,2.0,3.0,93.0,71.0
Ciutat Vella,41.38284,2.17204,Entire home/apt,4,1.0,1.0,2.0,87.0,72.0
El Poble-sec,41.37257,2.16921,Private room,2,1.0,1.0,1.0,93.0,39.0
La Sagrada Família,41.40611,2.17471,Entire home/apt,4,1.0,2.0,2.0,99.0,80.0
Dreta de l'Eixample,41.39234,2.16173,Entire home/apt,4,2.0,2.0,2.0,93.0,108.0
Sants-Montjuïc,41.37442,2.13102,Entire home/apt,6,1.0,2.0,6.0,100.0,93.0
Sant Martí,41.41412,2.21555,Private room,2,1.0,1.0,1.0,93.0,40.0
Sant Antoni,41.37663,2.15328,Private room,2,1.5,1.0,1.0,93.0,28.0
Les Corts,41.38942,2.14215,Shared room,1,1.0,1.0,6.0,80.0,45.0
El Raval,41.38257,2.16801,Private room,2,1.0,1.0,1.0,84.0,30.0
El Poble-sec,41.37373,2.16581,Entire home/apt,5,1.0,2.0,3.0,90.0,135.0
Turó de la Peira - Can Peguera,41.43073,2.17355,Private room,2,1.0,1.0,2.0,93.0,37.0
La Nova Esquerra de l'Eixample,41.38309,2.15912,Private room,2,1.0,1.0,1.0,93.0,35.0
Sants-Montjuïc,41.35862,2.14045,Private room,2,2.0,1.0,1.0,96.0,28.0
Eixample,41.40273,2.17397,Entire home/apt,4,1.0,2.0,3.0,93.0,80.0
Sant Martí,41.3927,2.19022,Private room,2,1.5,1.0,1.0,89.0,30.0
Vila de Gràcia,41.39925,2.15483,Private room,1,1.0,1.0,1.0,93.0,20.0
El Camp de l'Arpa del Clot,41.40973,2.18099,Entire home/apt,4,1.0,1.0,1.0,85.0,85.0
Vila de Gràcia,41.4033,2.15593,Private room,2,1.0,1.0,2.0,94.0,40.0
Sant Martí,41.39589,2.20182,Entire home/apt,4,1.0,0.0,2.0,100.0,85.0
Les Corts,41.38305,2.13339,Entire home/apt,4,1.0,1.0,1.0,96.0,100.0
L'Antiga Esquerra de l'Eixample,41.38958,2.15613,Private room,2,1.0,1.0,1.0,93.0,40.0
Sants-Montjuïc,41.38094,2.13419,Private room,1,2.0,1.0,1.0,93.0,600.0
Eixample,41.40278,2.17268,Entire home/apt,4,1.0,1.0,3.0,100.0,49.0
Ciutat Vella,41.3835,2.17792,Private room,2,1.0,1.0,1.0,100.0,63.0
Sant Pere/Santa Caterina,41.38666,2.17697,Private room,2,1.0,1.0,1.0,94.0,40.0
Eixample,41.40672,2.17059,Private room,1,1.0,1.0,1.0,100.0,45.0
Eixample,41.37815,2.15373,Private room,1,1.0,1.0,1.0,93.0,33.0
Eixample,41.40875,2.17657,Entire home/apt,4,1.0,1.0,2.0,93.0,68.0
Eixample,41.38453,2.15418,Entire home/apt,6,2.0,3.0,5.0,91.0,160.0
Ciutat Vella,41.39018,2.17851,Entire home/apt,4,1.0,2.0,1.0,93.0,68.0
Sant Pere/Santa Caterina,41.38624,2.17663,Entire home/apt,4,1.0,2.0,2.0,93.0,195.0
Gràcia,41.40355,2.15633,Entire home/apt,6,2.0,2.0,2.0,94.0,100.0
La Barceloneta,41.3668,2.18943,Entire home/apt,6,2.0,3.0,4.0,93.0,2000.0
L'Antiga Esquerra de l'Eixample,41.39218,2.15765,Entire home/apt,5,1.0,2.0,3.0,67.0,75.0
Sarrià-Sant Gervasi,41.40626,2.14546,Entire home/apt,8,3.0,3.0,5.0,100.0,185.0
El Clot,41.40867,2.18813,Private room,2,0.0,1.0,1.0,96.0,40.0
Eixample,41.38446,2.16261,Private room,2,1.0,1.0,1.0,100.0,44.0
Horta-Guinardó,41.43106,2.16325,Private room,2,1.0,1.0,1.0,100.0,60.0
La Sagrada Família,41.40594,2.1715,Entire home/apt,6,1.0,2.0,2.0,94.0,100.0
Sant Antoni,41.37759,2.15548,Private room,2,1.0,1.0,1.0,93.0,69.0
Ciutat Vella,41.38733,2.1816,Entire home/apt,2,1.0,0.0,1.0,93.0,49.0
Sarrià-Sant Gervasi,41.40485,2.13639,Entire home/apt,4,1.0,2.0,2.0,77.0,40.0
El Raval,41.37734,2.16921,Private room,2,2.5,1.0,1.0,99.0,55.0
Ciutat Vella,41.38743,2.17792,Private room,4,1.5,1.0,2.0,100.0,120.0
Ciutat Vella,41.38143,2.17362,Entire home/apt,4,1.0,1.0,1.0,93.0,49.0
Ciutat Vella,41.38724,2.17559,Private room,2,1.0,1.0,1.0,93.0,65.0
Sant Pere/Santa Caterina,41.38748,2.17966,Private room,2,2.0,1.0,1.0,86.0,28.0
Eixample,41.39802,2.17587,Entire home/apt,6,1.5,3.0,4.0,95.0,79.0
El Raval,41.37938,2.16607,Entire home/apt,2,1.0,2.0,2.0,100.0,37.0
L'Antiga Esquerra de l'Eixample,41.38864,2.14618,Private room,2,1.0,1.0,1.0,83.0,35.0
La Nova Esquerra de l'Eixample,41.38493,2.16036,Entire home/apt,4,1.0,2.0,3.0,93.0,157.0
El Poble-sec,41.37236,2.1588,Private room,2,1.0,1.0,2.0,60.0,25.0
La Vila Olímpica,41.38602,2.20245,Private room,2,1.0,0.0,1.0,99.0,70.0
La Vila Olímpica,41.39217,2.19301,Entire home/apt,6,2.0,3.0,6.0,100.0,400.0
Sants-Montjuïc,41.36247,2.13564,Private room,2,1.0,1.0,2.0,100.0,100.0
Eixample,41.39899,2.17286,Private room,2,1.0,3.0,1.0,100.0,25.0
La Sagrada Família,41.41125,2.17524,Private room,2,1.0,1.0,1.0,83.0,15.0
El Raval,41.37772,2.16713,Entire home/apt,4,2.0,2.0,3.0,93.0,62.0
El Poblenou,41.39627,2.20537,Private room,3,1.0,1.0,2.0,80.0,50.0
La Salut,41.40849,2.15175,Private room,1,1.5,1.0,1.0,88.0,25.0
Gràcia,41.40374,2.17108,Entire home/apt,5,1.0,3.0,4.0,89.0,77.0
el Fort Pienc,41.39328,2.1808,Entire home/apt,4,1.0,2.0,3.0,93.0,100.0
Unknown,41.4275,2.09347,Private room,2,1.0,1.0,1.0,97.0,50.0
El Poble-sec,41.37386,2.15561,Entire home/apt,2,1.0,0.0,1.0,93.0,100.0
